slang,definition,example
finesse,To handle something skillfully.,He finessed his way into the VIP section.
ffs,"Used informally, especially in text or online communication to show irritation.","FFS, can we please get this done?"
ffs,"Used informally, especially in text or online communication to show irritation.","FFS, why is this meeting taking so long?"
ffs,"Used informally, especially in text or online communication to show irritation.","Ffs, I left my charger at home."
fc,Commonly used in texting to wish for a positive outcome.,"I've got an FC today, can't take any more meetings."
fc,Commonly used in texting to wish for a positive outcome.,He asked for my fc before leaving the event.
fc,Commonly used in texting to wish for a positive outcome.,FC that I get the job!
fc,Commonly used in texting to wish for a positive outcome.,"I applied for the job, FC!"
fbf,"Used on social media to post old photos or memories, typically on Fridays.","Pizza and wings, time for some FBF!"
fbf,"Used on social media to post old photos or memories, typically on Fridays.","We posted FBFs together, but we did not plan it."
fbf,"Used on social media to post old photos or memories, typically on Fridays.","Here's a fbf from my trip last year."
fbf,"Used on social media to post old photos or memories, typically on Fridays.",Throwing up an fbf because I miss summer.
faq,Used in customer service or informational contexts to provide answers to common queries.,Check the FAQ before you ask questions.
faq,Used in customer service or informational contexts to provide answers to common queries.,Check out the FAQ before you ask any questions.
faq,Used in customer service or informational contexts to provide answers to common queries.,The faq section saved me a ton of time.
fam,Used in casual conversation to address close friends or acquaintances.,"What's up, FAM? Let's hang out this weekend."
fam,Used in casual conversation to address close friends or acquaintances.,"What's good, fam? Long time no see!"
fam,Used in casual conversation to address close friends or acquaintances.,"Calm down, fam, we'll figure this out."
facts,Used to agree with something true.,Thats facts.
facts,Used to agree with something true.,Pizza is the best food ever. Facts.
facts,Used to agree with something true.,That statement was straight facts and everyone knew it.
extra,"Over the top, excessive.","Her outfit was so EXTRA, but I loved it!"
extra,"Over the top, excessive.","She brought a whole suitcase for a weekend trip, she's so extra."
extra,"Over the top, excessive.",Stop being extra—nobody needs a ten-minute entrance speech.
extra,"Over the top, excessive.",Shes so extra with her outfits.
extra,"Over the top, excessive.",Shes so extra with her drama.
eta,Used to ask when someone or something will arrive.,What's your ETA? The meeting starts soon.
eta,Used to ask when someone or something will arrive.,ETA: I just found the missing files.
eta,Used to ask when someone or something will arrive.,Send your eta when you get on the bus.
eol,"Signals the end of a talk, lecture, or presentation.","That's all for today, EOL."
eol,"Signals the end of a talk, lecture, or presentation.",This software is nearing its EOL.
eol,"Signals the end of a talk, lecture, or presentation.","The software reached eol last month, so they stopped updating it."
eod,Refers to the end of the workday or business hours.,We'll know the results eod.
eod,Refers to the end of the workday or business hours.,Please submit the report by EOD.
eod,Refers to the end of the workday or business hours.,"We've already decided, EOD."
emfbi,A polite way to interrupt or join a conversation.,"Emfbi later, I need to check something first."
emfbi,A polite way to interrupt or join a conversation.,"EMFBI, but I think you're mistaken about that."
emfbi,A polite way to interrupt or join a conversation.,"EMFBI, can I add something here?"
e,"Refers to the drug Ecstasy, often used in conversations about parties or nightlife.",The chat was silent until someone randomly typed 'e'.
e,"Refers to the drug Ecstasy, often used in conversations about parties or nightlife.",She was at the club on E last night.
e,"Refers to the drug Ecstasy, often used in conversations about parties or nightlife.","Watch out, E approaching from the left!"
dtr,Used in dating to clarify whether a relationship is serious or casual.,"We need to DTR soon, I need to know where we stand."
dtr,Used in dating to clarify whether a relationship is serious or casual.,"We need to DTR, are we just friends or more?"
dtr,Used in dating to clarify whether a relationship is serious or casual.,A spontaneous dtr changed everything for them.
drip,"Stylish or fashionable, especially in clothing.",Check out my drip.
drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.
drip,"Stylish or fashionable, especially in clothing.",His drip today is on point.
drip,"Stylish or fashionable, especially in clothing.",They walked in together with coordinated drip that stole everyone's attention.
dope,Cool or excellent.,His sneakers were dope and everyone asked about them.
dope,Cool or excellent.,That jacket is dope.
dope,Cool or excellent.,That outfit is dope.
dm,Direct Message on social media.,Check your dm—I sent the file.
dm,Direct Message on social media.,Can you DM a favor and pass me that?
dm,Direct Message on social media.,I'll DM you the details later.
dm,Direct Message on social media.,It DM whether we go now or later.
dm,Direct Message on social media.,Our DM is preparing a new campaign for tonight.
dm,Direct Message on social media.,Ill DM you the details.
dl,A shorthand version of download.,"Keep this on the DL, it's a secret."
dl,A shorthand version of download.,"I clicked the article, but it was a DL."
dl,A shorthand version of download.,The file is taking forever to DL.
dl,A shorthand version of download.,He said it on the dl so nobody else would overhear.
deadass,Seriously; genuinely.,He looked deadass serious when he said he was done.
deadass,Seriously; genuinely.,Im deadass serious.
deadass,Seriously; genuinely.,Shhe was being deadass about the exam's difficulty.
dd,A term of affection used to refer to one's daughter.,She stayed sober as the dd and made sure everyone got home safe.
dd,A term of affection used to refer to one's daughter.,My DD is starting school this year.
dd,A term of affection used to refer to one's daughter.,Make sure you do your DD before investing.
dank,"High-quality, especially used for memes.",That was a dank reference only real fans would catch.
dank,"High-quality, especially used for memes.",That meme is dank.
cya,Frequently used in informal conversations.,"It's late, CYA!"
cya,Frequently used in informal conversations.,Cya at the café tonight.
cya,Frequently used in informal conversations.,CYA tomorrow!
cul8r,Common in texting or online messaging.,"Talk to you soon, CUL8R!"
cul8r,Common in texting or online messaging.,"Cul8r, I'll text when I get home."
cul8r,Common in texting or online messaging.,"Got to go, CUL8R!"
cu,Frequently used in online chats or texts as a casual farewell.,Cu at the café around noon.
cu,Frequently used in online chats or texts as a casual farewell.,I'll CU after work.
cu,Frequently used in online chats or texts as a casual farewell.,"It was fun hanging out, CU later!"
cu,Frequently used in online chats or texts as a casual farewell.,CU later!
csl,Common in texting or online conversations to emphasize uncontrollable laughter.,She ended the chat with a short csl.
csl,Common in texting or online conversations to emphasize uncontrollable laughter.,"That joke was hilarious, CSL!"
cringe,Embarrassing or awkward.,The silence after his joke was so cringe.
cringe,Embarrassing or awkward.,That video was cringe.
cringe,Embarrassing or awkward.,That performance was so cringe.
clout,Influence or power.,Hes just doing it for the clout.
clout,Influence or power.,Hes just doing it for the clout.
clout,Influence or power.,They started a fake feud online just for clout.
clap back,"A quick, sharp, and witty retort.",Don't start something if you can't handle the clap back.
clap back,"A quick, sharp, and witty retort.",That clap back was savage.
clap back,"A quick, sharp, and witty retort.",That clap back was on point.
cid,Expresses feeling of shame or embarrassment.,Need help with that? CID.
cid,Expresses feeling of shame or embarrassment.,"After that presentation, I'm CID."
cid,Expresses feeling of shame or embarrassment.,She sent her cid so they could verify the report.
chill,Relaxed or easy-going.,Im just chilling today.
chill,Relaxed or easy-going.,"Her whole vibe is chill, like nothing ever stresses her out."
cb,A short break during work or study to grab coffee.,"I'm heading out for a CB, anyone joining?"
cb,A short break during work or study to grab coffee.,Let's take a quick CB and catch up.
cb,A short break during work or study to grab coffee.,That party last night was CB!
cb,A short break during work or study to grab coffee.,Just cb when you're free.
cap,A lie or something untrue.,"Thats cap, you didnt do that."
cap,A lie or something untrue.,"He said he's a millionaire, but that's cap."
cap,A lie or something untrue.,Stop the cap—you definitely didn't invent that idea.
cancelled,Publicly denounced and rejected.,Shes cancelled after that scandal.
cancelled,Publicly denounced and rejected.,The influencer got cancelled after lying about the whole situation.
cancelled,Publicly denounced and rejected.,She got cancelled after that post.
cad,Refers to using the Ctrl+Alt+Delete command on a computer to restart or manage tasks.,"My computer froze, time for a CAD."
cad,Refers to using the Ctrl+Alt+Delete command on a computer to restart or manage tasks.,His apology was weak after being such a cad.
cad,Refers to using the Ctrl+Alt+Delete command on a computer to restart or manage tasks.,I met a CAD at the conference.
btw,Common in both casual and professional conversations to introduce new information.,"Did you finish the assignment btw?"
btw,Common in both casual and professional conversations to introduce new information.,"Btw, did you see the new episode?"
btw,Common in both casual and professional conversations to introduce new information.,"BTW, I'll be late to the party."
bt,"A defiant or dismissive response, similar to bite me.","If you don't like my idea, BT."
bt,"A defiant or dismissive response, similar to bite me.","I tried calling, bt it went straight to voicemail."
bt,"A defiant or dismissive response, similar to bite me.","We're currently BT, transitioning our systems."
brt,Commonly used to communicate proximity in physical meetups or digital collaborations.,"I'll brt, don't start without me."
brt,Commonly used to communicate proximity in physical meetups or digital collaborations.,"Just parking, BRT!"
brt,Commonly used to communicate proximity in physical meetups or digital collaborations.,"On my way, BRT!"
brb,Used in texting or online chats for short breaks.,"Need to grab something, BRB."
brb,Used in texting or online chats for short breaks.,"Brb, I need to plug in my laptop."
brb,Used in texting or online chats for short breaks.,"Let me go grab my phone, brb."
bounce,To leave or exit.,We should bounce before the line gets too long.
bounce,To leave or exit.,Im gonna bounce now.
bounce,To leave or exit.,"Im bouncing, see you later."
boujee,Luxurious or fancy.,Their boujee picnic setup looked like a magazine cover.
boujee,Luxurious or fancy.,We're going to a boujee restaurant tonight.
boujee,Luxurious or fancy.,Living the boujee life.
boujee,Luxurious or fancy.,Shes so boujee with her style.
bot,Used in meetings or conversations to refocus on the main subject after a diversion.,The replies were so generic I thought it was a bot.
bot,Used in meetings or conversations to refocus on the main subject after a diversion.,"Okay, BOT, what's the next agenda item?"
bot,Used in meetings or conversations to refocus on the main subject after a diversion.,"I'm BOT, working on it now."
bop,A song thats really good.,This new track is a total bop!
bop,A song thats really good.,"This song is BOP, I added it to my playlist."
bop,A song thats really good.,That commercial jingle is unintentionally a bop.
bodega,"A small grocery store, typically in an urban area.",Im heading to the bodega.
bodega,"A small grocery store, typically in an urban area.",He practically lives at the bodega with how often he goes.
big yikes,Something extremely embarrassing or cringeworthy.,She wore the same dress as the bride at the wedding? Big yikes.
big yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.
big yikes,Something extremely embarrassing or cringeworthy.,"The outfit combination he tried was a big yikes, but at least he owned it."
bfn,Often used when ending a conversation with the expectation of reconnecting later.,"Got to run, BFN!"
bfn,Often used when ending a conversation with the expectation of reconnecting later.,"Okay, bfn, talk tomorrow."
bff,"Refers to someone who is a very close friend, often with the promise of lifelong friendship.",His bff planned the whole surprise party.
bff,"Refers to someone who is a very close friend, often with the promise of lifelong friendship.","She's my BFF, we tell each other everything."
bff,"Refers to someone who is a very close friend, often with the promise of lifelong friendship.",Can't wait to hang out with my BFF this weekend!
bf,Refers to a romantic partner who is male.,She and her bf have matching jackets now.
bf,Refers to a romantic partner who is male.,My BF and I have known each other for years.
bf,Refers to a romantic partner who is male.,I totally stalked my BF during that meeting.
bf,Refers to a romantic partner who is male.,I'm meeting my BF for dinner.
bet,Used to confirm something or agree.,"Bet, Ill be there."
bet,Used to confirm something or agree.,You want to meet at 6? Bet.
bet,Used to confirm something or agree.,He said he could beat me in chess—bet.
bc,"A shorthand for because, used to explain a reason.",He didn't answer bc his phone died.
bc,"A shorthand for because, used to explain a reason.",I'm late BC traffic was crazy.
bc,"A shorthand for because, used to explain a reason.","Don't worry about it, just BC."
bbs,Used for brief absences in conversations.,"Hold on, bbs, don't leave yet."
bbs,Used for brief absences in conversations.,"Grabbing a snack, BBS."
bbs,Used for brief absences in conversations.,"I'm taking a quick break, BBS."
bae,"Refers to someone special, typically a romantic partner.","Hey BAE, what's up?"
bae,"Refers to someone special, typically a romantic partner.",I'm spending the weekend with my bae.
bae,"Refers to someone special, typically a romantic partner.",Bae and I spent the whole afternoon relaxing.
bae,"Refers to someone special, typically a romantic partner.",You're my BAE.
b4n,Common in online communities to remove disruptive individuals.,That troll got a BAN from the server.
b4n,Common in online communities to remove disruptive individuals.,"Talk to you later, b4n."
b4n,Common in online communities to remove disruptive individuals.,"Heading out, B4N!"
b4n,Common in online communities to remove disruptive individuals.,"Gotta go, B4N!"
b4,Frequently used in texts and informal writing to save time.,I need to finish this B4 I go out.
b4,Frequently used in texts and informal writing to save time.,He said he'd met her b4 but couldn't remember where.
b4,Frequently used in texts and informal writing to save time.,Let's meet B4 the event.
b,"Informal way of saying back, indicating a return.",Just B yourself!
b,"Informal way of saying back, indicating a return.","Relax, b, it's not that serious."
b,"Informal way of saying back, indicating a return.",I'll be B in a sec.
ayw,"A way to tell someone to continue what they were doing, often used after an interruption.","I'm flexible, ayw works for me."
ayw,"A way to tell someone to continue what they were doing, often used after an interruption.","It's all good now, AYW."
ayw,"A way to tell someone to continue what they were doing, often used after an interruption.",I'll do it AYW.
awol,Refers to someone being absent without explanation.,The new hire went awol after day one.
awol,Refers to someone being absent without explanation.,He's been AWOL for a few days now.
awol,Refers to someone being absent without explanation.,He went AWOL during the meeting.
atm,Commonly used in texting and online chats to describe current activity.,I'm really busy ATM.
atm,Commonly used in texting and online chats to describe current activity.,"I'm busy atm, can we talk later?"
atm,Commonly used in texting and online chats to describe current activity.,He's atm dealing with a lot of emails.
asl,"Often used in online chats to get to know someone's basic information, though less common today.",It's cold asl outside!
asl,"Often used in online chats to get to know someone's basic information, though less common today.",Someone in the lobby started the conversation with a random 'asl'.
asl,"Often used in online chats to get to know someone's basic information, though less common today.",What's your ASL?
asl,"Often used in online chats to get to know someone's basic information, though less common today.",Whats your ASL?
asap,Commonly used in professional and casual contexts to indicate urgency.,Can you send me the report ASAP?
asap,Commonly used in professional and casual contexts to indicate urgency.,I need those files asap so I can finish.
asap,Commonly used in professional and casual contexts to indicate urgency.,I need that report ASAP!
app,"Refers to a software application, commonly used in tech-related discussions.","Thanks for your help, APP!"
app,"Refers to a software application, commonly used in tech-related discussions.",I need to install this APP for work.
app,"Refers to a software application, commonly used in tech-related discussions.",He submitted his job app last night.
aom,Refers to the legal age at which a person is considered an adult.,"Aom, everything's already taken care of."
aom,Refers to the legal age at which a person is considered an adult.,"She just turned 18, officially at the AOM."
aom,Refers to the legal age at which a person is considered an adult.,I'm playing AOM with some friends later.
aisb,Used to express satisfaction that things are happening the way they are expected to.,"Everything is going smoothly, AISB."
aisb,Used to express satisfaction that things are happening the way they are expected to.,"AISB, we need to stick to the original plan."
aisb,Used to express satisfaction that things are happening the way they are expected to.,"Aisb, she might be right this time."
afk,Used in online gaming or chats to signal that you're stepping away.,"I'll be AFK for a few minutes, need a break."
afk,Used in online gaming or chats to signal that you're stepping away.,"I'll be AFK for 10 minutes, need to take a break."
afk,Used in online gaming or chats to signal that you're stepping away.,Stay afk too long and you'll get kicked.
aak,Used to explain that someone fell asleep while using their computer or phone.,"Don't worry about me, I was just AAK!"
aak,Used to explain that someone fell asleep while using their computer or phone.,"Sorry for the late response, I was AAK last night."
aak,Used to explain that someone fell asleep while using their computer or phone.,Aak the moment I walked in.
a3,Used to express flexibility or enthusiasm.,"A3, everything is clear now."
a3,Used to express flexibility or enthusiasm.,"Let's meet up, I'm A3."
a3,Used to express flexibility or enthusiasm.,"Let me know when you're free, I'm A3!"
88,"A shorthand way of saying bye-bye, used in casual conversations.",She ended the chat with a cute little 88.
88,"A shorthand way of saying bye-bye, used in casual conversations.","Goodnight, 88!"
88,"A shorthand way of saying bye-bye, used in casual conversations.","I've got to go, 88!"
55555,Used to represent an exaggerated level of sadness or tears.,The entire group chat spammed 55555 after the blooper video.
55555,Used to represent an exaggerated level of sadness or tears.,"I lost my keys again, 55555!"
55555,Used to represent an exaggerated level of sadness or tears.,"That joke was hilarious, 55555!"
