slang,definition,example
idc ,Used to indicate indifference or lack of preference in a casual conversation.,"You can pick the movie, IDC."
idc ,Used to indicate indifference or lack of preference in a casual conversation.,IDC what we eat for dinner.
aom,Refers to the legal age at which a person is considered an adult.,"She just turned 18, officially at the AOM."
aom,Refers to the legal age at which a person is considered an adult.,I’m playing AOM with some friends later.
m8,"A casual way to refer to a friend, commonly used in British slang.","How’s it going, M8?"
m8,"A casual way to refer to a friend, commonly used in British slang.","How’s it going, M8?"
nrn,Used when someone doesn’t respond to a message or communication.,"I texted him last night, but I got NR."
nrn,Used when someone doesn’t respond to a message or communication.,I just wanted to update you—NRN.
oic,A quick way to indicate understanding in a conversation.,"OIC, that makes sense now."
oic,A quick way to indicate understanding in a conversation.,"OIC, that makes sense now."
lfg,A term used in online games when searching for other players to form a group.  ,I’m LFG for tonight’s raid.
lfg,A term used in online games when searching for other players to form a group.  ,"Our base is under attack, LFG!"
prw,Used to warn someone that their parents are nearby and to avoid certain conversations.,"I can’t talk right now, PRW."
prw,Used to warn someone that their parents are nearby and to avoid certain conversations.,"Can’t talk about it now, PRW."
rofl,Used to express extreme amusement or laughter.,That video had me ROFL!
rofl,Used to express extreme amusement or laughter.,That joke had me ROFL!
w/b,A friendly way to greet someone who has returned after being away.,"You’ve been gone for a while, W/B!"
w/b,A friendly way to greet someone who has returned after being away.,"Let me know your thoughts, W/B when you can."
swag,Refers to free promotional items given out at events or trade shows.  ,I got so much SWAG at the conference!
swag,Refers to free promotional items given out at events or trade shows.  ,"I don’t know the exact answer, but here’s my SWAG."
sk8,"A shorthand way of saying “skate,” used in skateboarding or rollerblading circles.",Let’s go Sk8 at the park this weekend.
sk8,"A shorthand way of saying “skate,” used in skateboarding or rollerblading circles.",We’re going to SK8 at the park later.
gas,A polite way to ask if someone has a moment to talk or assist with something.,"Hey, GAS? I need some help."
gas,A polite way to ask if someone has a moment to talk or assist with something.,"GAS, how’s everyone doing today?"
asl,"Often used in online chats to get to know someone’s basic information, though less common today.",Whats your ASL?
asl,"Often used in online chats to get to know someone’s basic information, though less common today.",What’s your ASL?
asl,"Often used in online chats to get to know someone’s basic information, though less common today.",It’s cold asl outside!
thx,A quick way to say “thanks” in casual conversations or texts.,THX for helping me out!
thx,A quick way to say “thanks” in casual conversations or texts.,THX for helping me out!
ttfn,A playful way of saying goodbye temporarily.,"I’m heading out, TTFN!"
ttfn,A playful way of saying goodbye temporarily.,"Got to go, TTFN!"
ttyl,Commonly used to end a conversation with the promise of continuing later.,"I’ve got to go, TTYL!"
ttyl,Commonly used to end a conversation with the promise of continuing later.,"I’ve got to head out, TTYL!"
ootd,Used to indicate something you plan or hope to do in the future.  ,"OOTD, I’ll finally visit Paris."
ootd,Used to indicate something you plan or hope to do in the future.  ,Posting my OOTD for Instagram.
wb,Used to greet someone who has returned after being away.,WB! How was your trip?
wb,Used to greet someone who has returned after being away.,"You’ve been offline for a while, WB!"
wtf,"Used to express shock, confusion, or disbelief, often in a strong or informal tone.",WTF happened here?
wtf,"Used to express shock, confusion, or disbelief, often in a strong or informal tone.",WTF is going on here?
wtg,A phrase used to congratulate or praise someone for their achievement or success. Commonly used in informal settings to show approval.,You aced the exam? WTG!
wtg,A phrase used to congratulate or praise someone for their achievement or success. Commonly used in informal settings to show approval.,You aced the test! WTG!
wuf,A casual way to ask someone where they’re from.,WUF? You sound like you’re from the UK.
wuf,A casual way to ask someone where they’re from.,Nice to meet you! WUF?
7k,A play on the word “sick” to describe something cool or impressive.,That move was 7K!
7k,A play on the word “sick” to describe something cool or impressive.,That trick was 7K!
app,"Refers to a software application, commonly used in tech-related discussions.",I need to install this APP for work.
app,"Refers to a software application, commonly used in tech-related discussions.","Thanks for your help, APP!"
b,"Informal way of saying back, indicating a return.",I’ll be B in a sec.
b,"Informal way of saying back, indicating a return.",Just B yourself!
asap,Commonly used in professional and casual contexts to indicate urgency.,I need that report ASAP!
asap,Commonly used in professional and casual contexts to indicate urgency.,Can you send me the report ASAP?
rys,A reminder to pay attention to what is already written on the screen.  ,"The instructions are clear, RYS!"
rys,A reminder to pay attention to what is already written on the screen.  ,"We’ve been chatting for a while, RYS?"
hawt,Used to wish someone an excellent day.,Take care and HAWT!
hawt,Used to wish someone an excellent day.,That outfit is so HAWT!
gs,A compliment given in sports or gaming for a well-executed shot or action.,"Nice play, GS!"
gs,A compliment given in sports or gaming for a well-executed shot or action.,That was a GS during the game!
yt,Refers to the popular video-sharing platform YouTube.,Check out this video on YT!
yt,Refers to the popular video-sharing platform YouTube.,"Haven’t heard from you, YT?"
kos,"Used to indicate that a child is nearby, often as a warning to avoid inappropriate language.  ","KOS right now, I’ll text you later."
kos,"Used to indicate that a child is nearby, often as a warning to avoid inappropriate language.  ",That enemy guild is KOS in this area.
rt,"A phrase used to acknowledge a message or command, often in military or technical settings.  ","I’ll be there at 5, RT."
rt,"A phrase used to acknowledge a message or command, often in military or technical settings.  ",Thanks for the RT!
bc,"A shorthand for because, used to explain a reason.",I’m late BC traffic was crazy.
bc,"A shorthand for because, used to explain a reason.","Don’t worry about it, just BC."
sis,Used to describe laughing quietly or to oneself.  ,"That joke was so bad, I’m SIS."
sis,Used to describe laughing quietly or to oneself.  ,I’m spending the weekend with my SIS.
sis,Used to describe laughing quietly or to oneself.  ,"Sis, you are killing it in that outfit!"
wwjd,A phrase used to reflect on how to act morally or compassionately.,"In tough situations, ask yourself WWJD."
wwjd,A phrase used to reflect on how to act morally or compassionately.,"Before making a decision, think WWJD."
yr,"A shorthand way to say your, often used in text or online messaging.",What’s YR plan for the weekend?
yr,"A shorthand way to say your, often used in text or online messaging.",You’ll finish in an hour? YR.
pov,Refers to someone’s perspective or opinion on a situation.  ,"From my POV, this makes the most sense."
pov,Refers to someone’s perspective or opinion on a situation.  ,I’ll be taking my POV on the road trip.
npc,Used to describe people who seem to follow a script or act predictably without any autonomy.,"She’s acting like such an NPC, just going with the flow."
npc,Used to describe people who seem to follow a script or act predictably without any autonomy.,That NPC just gave me a quest.
ngl,Frequently used in conversations to preface honesty or a blunt opinion.,"NGL, that was a tough workout."
ngl,Frequently used in conversations to preface honesty or a blunt opinion.,"NGL, that was the best meal I’ve had in a while."
hb,Used when someone leaves briefly and you want them to return quickly.,"I’ll be waiting, HB!"
hb,Used when someone leaves briefly and you want them to return quickly.,"Thanks for the hug, HB!"
qfi,Used humorously or sarcastically to highlight a foolish or nonsensical comment.  ,"That statement is ridiculous, QFI!"
qfi,Used humorously or sarcastically to highlight a foolish or nonsensical comment.  ,They said they’d never change their mind… QFI.
kb,"Another shorthand for keyboard, used in informal conversations.  ",My KB stopped working.
kb,"Another shorthand for keyboard, used in informal conversations.  ",Go out there and KB in your presentation!
xd,"Represents laughter, often used in gaming or online chats.",That joke had me XD!
xd,"Represents laughter, often used in gaming or online chats.","I’ve got a plan, XD."
cad,Refers to using the Ctrl+Alt+Delete command on a computer to restart or manage tasks.,"My computer froze, time for a CAD."
cad,Refers to using the Ctrl+Alt+Delete command on a computer to restart or manage tasks.,I met a CAD at the conference.
kk,"A playful way to check if someone is available or paying attention, often in chat.  ","KK, anyone home?"
kk,"A playful way to check if someone is available or paying attention, often in chat.  ","KK, I’ll meet you at the restaurant."
jp,Used to clarify that a previous comment was made in fun or as a joke.  ,"I wasn’t being serious, JP!"
jp,Used to clarify that a previous comment was made in fun or as a joke.  ,We hit the JP with that business deal!
ib,Used to announce your return after being away for a short time.,Missed anything while I was gone? IB!
ib,Used to announce your return after being away for a short time.,"I had to step out, but IB now."
rx,"A way of sending regards or best wishes, often used in email closings.  ","I’ll see you soon, RX."
rx,"A way of sending regards or best wishes, often used in email closings.  ",I need to pick up my RX from the pharmacy.
ytb,A compliment or expression of gratitude.,"Thanks for all your help, YTB!"
ytb,A compliment or expression of gratitude.,The YTB session was lively and full of energy.
cid,Expresses feeling of shame or embarrassment.,"After that presentation, I’m CID."
cid,Expresses feeling of shame or embarrassment.,Need help with that? CID.
bot,Used in meetings or conversations to refocus on the main subject after a diversion.,"Okay, BOT, what’s the next agenda item?"
bot,Used in meetings or conversations to refocus on the main subject after a diversion.,"I’m BOT, working on it now."
l2g,Used to ask someone if they would like to go somewhere.  ,L2G for a coffee?
l2g,Used to ask someone if they would like to go somewhere.  ,"That sounds great, I L2G!"
tbh,Often used to preface a blunt opinion or honest confession.,"TBH, I didn’t enjoy the party last night."
tbh,Often used to preface a blunt opinion or honest confession.,"TBH, I don’t really like sushi."
bae,"Refers to someone special, typically a romantic partner.","Hey BAE, what’s up?"
bae,"Refers to someone special, typically a romantic partner.",You’re my BAE.
bae,"Refers to someone special, typically a romantic partner.",I’m spending the weekend with my bae.
ld,"A casual way to say goodbye, usually to a male friend.  ","It’s been fun, LD!"
ld,"A casual way to say goodbye, usually to a male friend.  ",We’ve been in an LD relationship for a year.
sos,A call for help or assistance.  ,"SOS, I’m lost in the city!"
sos,A call for help or assistance.  ,He was acting like a total SOS.
yas,"Used to express enthusiastic approval or praise, often in pop culture contexts.","YAS, queen!"
yas,"Used to express enthusiastic approval or praise, often in pop culture contexts.",Yas queen! You’re slaying that outfit!
wth,"A less explicit version of WTF, expressing confusion or surprise.",You like pizza? I’m with it.
wth,"A less explicit version of WTF, expressing confusion or surprise.",WTH is happening right now?
smh,"Used to express disappointment, frustration, or disbelief.  ","He forgot his homework again, SMH."
smh,"Used to express disappointment, frustration, or disbelief.  ",You forgot your homework again? Smh.
fam,Used in casual conversation to address close friends or acquaintances.,"What’s good, fam? Long time no see!"
fam,Used in casual conversation to address close friends or acquaintances.,"What’s up, FAM? Let’s hang out this weekend."
ffs,"Used informally, especially in text or online communication to show irritation.","FFS, can we please get this done?"
ffs,"Used informally, especially in text or online communication to show irritation.","FFS, why is this meeting taking so long?"
